Sample	Assemblies	Reads1	Reads2
Scotland/QEUH-3DF3D03/2022	/home/CSCScience.ca/apetkau/workspace/genomics-data-index-evaluation-manuscript/evaluations/sars-cov-2/input/split/Scotland__QEUH-3DF3D03__2022.fasta.gz		
Denmark/DCGC-384569/2022	/home/CSCScience.ca/apetkau/workspace/genomics-data-index-evaluation-manuscript/evaluations/sars-cov-2/input/split/Denmark__DCGC-384569__2022.fasta.gz		
OW500387	/home/CSCScience.ca/apetkau/workspace/genomics-data-index-evaluation-manuscript/evaluations/sars-cov-2/input/split/OW500387.fasta.gz		
USA/TG1138574/2022	/home/CSCScience.ca/apetkau/workspace/genomics-data-index-evaluation-manuscript/evaluations/sars-cov-2/input/split/USA__TG1138574__2022.fasta.gz		
USA/TX-CDC-ASC210194138/2021	/home/CSCScience.ca/apetkau/workspace/genomics-data-index-evaluation-manuscript/evaluations/sars-cov-2/input/split/USA__TX-CDC-ASC210194138__2021.fasta.gz		
USA/TX-CDC-QDX31730234/2021	/home/CSCScience.ca/apetkau/workspace/genomics-data-index-evaluation-manuscript/evaluations/sars-cov-2/input/split/USA__TX-CDC-QDX31730234__2021.fasta.gz		
Switzerland/GE-ETHZ-540298/2021	/home/CSCScience.ca/apetkau/workspace/genomics-data-index-evaluation-manuscript/evaluations/sars-cov-2/input/split/Switzerland__GE-ETHZ-540298__2021.fasta.gz		
England/ALDP-2059828/2021	/home/CSCScience.ca/apetkau/workspace/genomics-data-index-evaluation-manuscript/evaluations/sars-cov-2/input/split/England__ALDP-2059828__2021.fasta.gz		
USA/NY-PRL-2021_0422_02B15/2021	/home/CSCScience.ca/apetkau/workspace/genomics-data-index-evaluation-manuscript/evaluations/sars-cov-2/input/split/USA__NY-PRL-2021_0422_02B15__2021.fasta.gz		
USA/OK-CDC-ASC210060059/2021	/home/CSCScience.ca/apetkau/workspace/genomics-data-index-evaluation-manuscript/evaluations/sars-cov-2/input/split/USA__OK-CDC-ASC210060059__2021.fasta.gz		
OU111899	/home/CSCScience.ca/apetkau/workspace/genomics-data-index-evaluation-manuscript/evaluations/sars-cov-2/input/split/OU111899.fasta.gz		
OW853683	/home/CSCScience.ca/apetkau/workspace/genomics-data-index-evaluation-manuscript/evaluations/sars-cov-2/input/split/OW853683.fasta.gz		
Denmark/DCGC-433666/2022	/home/CSCScience.ca/apetkau/workspace/genomics-data-index-evaluation-manuscript/evaluations/sars-cov-2/input/split/Denmark__DCGC-433666__2022.fasta.gz		
Wales/QEUH-3F00518/2022	/home/CSCScience.ca/apetkau/workspace/genomics-data-index-evaluation-manuscript/evaluations/sars-cov-2/input/split/Wales__QEUH-3F00518__2022.fasta.gz		
USA/IN-CDC-STM-RMZTHT6VD/2022	/home/CSCScience.ca/apetkau/workspace/genomics-data-index-evaluation-manuscript/evaluations/sars-cov-2/input/split/USA__IN-CDC-STM-RMZTHT6VD__2022.fasta.gz		
England/BRBR-3BA37D9/2022	/home/CSCScience.ca/apetkau/workspace/genomics-data-index-evaluation-manuscript/evaluations/sars-cov-2/input/split/England__BRBR-3BA37D9__2022.fasta.gz		
USA/CO-CDPHE-2102608403/2021	/home/CSCScience.ca/apetkau/workspace/genomics-data-index-evaluation-manuscript/evaluations/sars-cov-2/input/split/USA__CO-CDPHE-2102608403__2021.fasta.gz		
OU193990	/home/CSCScience.ca/apetkau/workspace/genomics-data-index-evaluation-manuscript/evaluations/sars-cov-2/input/split/OU193990.fasta.gz		
USA/CO-CDPHE-2103028126/2022	/home/CSCScience.ca/apetkau/workspace/genomics-data-index-evaluation-manuscript/evaluations/sars-cov-2/input/split/USA__CO-CDPHE-2103028126__2022.fasta.gz		
England/QEUH-343FE3E/2022	/home/CSCScience.ca/apetkau/workspace/genomics-data-index-evaluation-manuscript/evaluations/sars-cov-2/input/split/England__QEUH-343FE3E__2022.fasta.gz		
OW308479	/home/CSCScience.ca/apetkau/workspace/genomics-data-index-evaluation-manuscript/evaluations/sars-cov-2/input/split/OW308479.fasta.gz		
PER/LSP0881/2022	/home/CSCScience.ca/apetkau/workspace/genomics-data-index-evaluation-manuscript/evaluations/sars-cov-2/input/split/PER__LSP0881__2022.fasta.gz		
USA/NJ-CDC-LC0729957/2022	/home/CSCScience.ca/apetkau/workspace/genomics-data-index-evaluation-manuscript/evaluations/sars-cov-2/input/split/USA__NJ-CDC-LC0729957__2022.fasta.gz		
OV675394	/home/CSCScience.ca/apetkau/workspace/genomics-data-index-evaluation-manuscript/evaluations/sars-cov-2/input/split/OV675394.fasta.gz		
USA/DC-CDC-LC0453964/2021	/home/CSCScience.ca/apetkau/workspace/genomics-data-index-evaluation-manuscript/evaluations/sars-cov-2/input/split/USA__DC-CDC-LC0453964__2021.fasta.gz		
Denmark/DCGC-150561/2021	/home/CSCScience.ca/apetkau/workspace/genomics-data-index-evaluation-manuscript/evaluations/sars-cov-2/input/split/Denmark__DCGC-150561__2021.fasta.gz		
USA/072222200987A/2022	/home/CSCScience.ca/apetkau/workspace/genomics-data-index-evaluation-manuscript/evaluations/sars-cov-2/input/split/USA__072222200987A__2022.fasta.gz		
USA/NM-CDC-IBX808398720660/2021	/home/CSCScience.ca/apetkau/workspace/genomics-data-index-evaluation-manuscript/evaluations/sars-cov-2/input/split/USA__NM-CDC-IBX808398720660__2021.fasta.gz		
AUS/VIC1024/2020	/home/CSCScience.ca/apetkau/workspace/genomics-data-index-evaluation-manuscript/evaluations/sars-cov-2/input/split/AUS__VIC1024__2020.fasta.gz		
England/ALDP-28B6C43/2021	/home/CSCScience.ca/apetkau/workspace/genomics-data-index-evaluation-manuscript/evaluations/sars-cov-2/input/split/England__ALDP-28B6C43__2021.fasta.gz		
England/MILK-335421A/2022	/home/CSCScience.ca/apetkau/workspace/genomics-data-index-evaluation-manuscript/evaluations/sars-cov-2/input/split/England__MILK-335421A__2022.fasta.gz		
Switzerland/BE-ETHZ-37537788/2022	/home/CSCScience.ca/apetkau/workspace/genomics-data-index-evaluation-manuscript/evaluations/sars-cov-2/input/split/Switzerland__BE-ETHZ-37537788__2022.fasta.gz		
Japan/SZ-NIG-4-C4923/2022	/home/CSCScience.ca/apetkau/workspace/genomics-data-index-evaluation-manuscript/evaluations/sars-cov-2/input/split/Japan__SZ-NIG-4-C4923__2022.fasta.gz		
England/ALDP-3231A67/2022	/home/CSCScience.ca/apetkau/workspace/genomics-data-index-evaluation-manuscript/evaluations/sars-cov-2/input/split/England__ALDP-3231A67__2022.fasta.gz		
England/BRBR-3131FA5/2022	/home/CSCScience.ca/apetkau/workspace/genomics-data-index-evaluation-manuscript/evaluations/sars-cov-2/input/split/England__BRBR-3131FA5__2022.fasta.gz		
OV696517	/home/CSCScience.ca/apetkau/workspace/genomics-data-index-evaluation-manuscript/evaluations/sars-cov-2/input/split/OV696517.fasta.gz		
England/PLYM-2C8DD8A/2021	/home/CSCScience.ca/apetkau/workspace/genomics-data-index-evaluation-manuscript/evaluations/sars-cov-2/input/split/England__PLYM-2C8DD8A__2021.fasta.gz		
USA/SD-SDPHL-0636/2021	/home/CSCScience.ca/apetkau/workspace/genomics-data-index-evaluation-manuscript/evaluations/sars-cov-2/input/split/USA__SD-SDPHL-0636__2021.fasta.gz		
Denmark/DCGC-154631/2021	/home/CSCScience.ca/apetkau/workspace/genomics-data-index-evaluation-manuscript/evaluations/sars-cov-2/input/split/Denmark__DCGC-154631__2021.fasta.gz		
USA/MN-CDC-IBX233318593166/2022	/home/CSCScience.ca/apetkau/workspace/genomics-data-index-evaluation-manuscript/evaluations/sars-cov-2/input/split/USA__MN-CDC-IBX233318593166__2022.fasta.gz		
USA/SEARCH-100882/2020	/home/CSCScience.ca/apetkau/workspace/genomics-data-index-evaluation-manuscript/evaluations/sars-cov-2/input/split/USA__SEARCH-100882__2020.fasta.gz		
USA/MD-CDC-LC0041638/2021	/home/CSCScience.ca/apetkau/workspace/genomics-data-index-evaluation-manuscript/evaluations/sars-cov-2/input/split/USA__MD-CDC-LC0041638__2021.fasta.gz		
OW770349	/home/CSCScience.ca/apetkau/workspace/genomics-data-index-evaluation-manuscript/evaluations/sars-cov-2/input/split/OW770349.fasta.gz		
